PowerPlanGUID,PowerPlanName,SubGroup,SubGroupGUID,PowerSettingGUID,PowerSettingName,CurAcVal,CurDCVal
8c5e7fda-e8bf-4a96-9a85-a6e23a8c635c,High performance,fea3413e-7e05-4911-9a71-700331f1c294,Settings belonging to no subgroup,0e796bdb-100d-47d6-a2d5-f7d2daa51f51,Require a password on wakeup,0x00000001,0x00000001
8c5e7fda-e8bf-4a96-9a85-a6e23a8c635c,High performance,fea3413e-7e05-4911-9a71-700331f1c294,Settings belonging to no subgroup,245d8541-3943-4422-b025-13a784f679b7,Power plan type,0x00000001,0x00000001
8c5e7fda-e8bf-4a96-9a85-a6e23a8c635c,High performance,fea3413e-7e05-4911-9a71-700331f1c294,Settings belonging to no subgroup,4faab71a-92e5-4726-b531-224559672d19,Device idle policy,0x00000000,0x00000000
8c5e7fda-e8bf-4a96-9a85-a6e23a8c635c,High performance,fea3413e-7e05-4911-9a71-700331f1c294,Settings belonging to no subgroup,68afb2d9-ee95-47a8-8f50-4115088073b1,Disconnected Standby Mode,0x00000000,0x00000001
8c5e7fda-e8bf-4a96-9a85-a6e23a8c635c,High performance,fea3413e-7e05-4911-9a71-700331f1c294,Settings belonging to no subgroup,f15576e8-98b7-4186-b944-eafa664402d9,Networking connectivity in Standby,0x00000001,0x00000001
8c5e7fda-e8bf-4a96-9a85-a6e23a8c635c,High performance,0012ee47-9041-4b5d-9b77-535fba8b1442,Hard disk,0b2d69d7-a2a1-449c-9680-f91c70521c60,AHCI Link Power Management - HIPM/DIPM,0x00000000,0x00000001
8c5e7fda-e8bf-4a96-9a85-a6e23a8c635c,High performance,0012ee47-9041-4b5d-9b77-535fba8b1442,Hard disk,51dea550-bb38-4bc4-991b-eacf37be5ec8,Maximum Power Level,0x00000064,0x00000064
8c5e7fda-e8bf-4a96-9a85-a6e23a8c635c,High performance,0012ee47-9041-4b5d-9b77-535fba8b1442,Hard disk,6738e2c4-e8a5-4a42-b16a-e040e769756e,Turn off hard disk after,0x000004b0,0x000004b0
8c5e7fda-e8bf-4a96-9a85-a6e23a8c635c,High performance,0012ee47-9041-4b5d-9b77-535fba8b1442,Hard disk,80e3c60e-bb94-4ad8-bbe0-0d3195efc663,Hard disk burst ignore time,0x00000000,0x00000000
8c5e7fda-e8bf-4a96-9a85-a6e23a8c635c,High performance,0012ee47-9041-4b5d-9b77-535fba8b1442,Hard disk,d3d55efd-c1ff-424e-9dc3-441be7833010,Secondary NVMe Idle Timeout,0x000007d0,0x000007d0
8c5e7fda-e8bf-4a96-9a85-a6e23a8c635c,High performance,0012ee47-9041-4b5d-9b77-535fba8b1442,Hard disk,d639518a-e56d-4345-8af2-b9f32fb26109,Primary NVMe Idle Timeout,0x000000c8,0x000000c8
8c5e7fda-e8bf-4a96-9a85-a6e23a8c635c,High performance,0012ee47-9041-4b5d-9b77-535fba8b1442,Hard disk,dab60367-53fe-4fbc-825e-521d069d2456,AHCI Link Power Management - Adaptive,0x00000000,0x00000000
8c5e7fda-e8bf-4a96-9a85-a6e23a8c635c,High performance,0012ee47-9041-4b5d-9b77-535fba8b1442,Hard disk,dbc9e238-6de9-49e3-92cd-8c2b4946b472,Secondary NVMe Power State Transition Latency Tolerance,0x00000000,0x00000000
8c5e7fda-e8bf-4a96-9a85-a6e23a8c635c,High performance,0012ee47-9041-4b5d-9b77-535fba8b1442,Hard disk,fc95af4d-40e7-4b6d-835a-56d131dbc80e,Primary NVMe Power State Transition Latency Tolerance,0x00000000,0x0000000a
8c5e7fda-e8bf-4a96-9a85-a6e23a8c635c,High performance,02f815b5-a5cf-4c84-bf20-649d1f75d3d8,Internet Explorer,4c793e7d-a264-42e1-87d3-7a0d2f523ccd,JavaScript Timer Frequency,0x00000001,0x00000001
8c5e7fda-e8bf-4a96-9a85-a6e23a8c635c,High performance,0d7dbae2-4294-402a-ba8e-26777e8488cd,Desktop background settings,309dce9b-bef4-4119-9921-a851fb12f0f4,Slide show,0x00000000,0x00000000
8c5e7fda-e8bf-4a96-9a85-a6e23a8c635c,High performance,19cbb8fa-5279-450e-9fac-8a3d5fedd0c1,Wireless Adapter Settings,12bbebe6-58d6-4636-95bb-3217ef867c1a,Power Saving Mode,0x00000000,0x00000000
8c5e7fda-e8bf-4a96-9a85-a6e23a8c635c,High performance,238c9fa8-0aad-41ed-83f4-97be242c8f20,Sleep,1a34bdc3-7e6b-442e-a9d0-64b6ef378e84,Legacy RTC mitigations,0x00000000,0x00000000
8c5e7fda-e8bf-4a96-9a85-a6e23a8c635c,High performance,238c9fa8-0aad-41ed-83f4-97be242c8f20,Sleep,25dfa149-5dd1-4736-b5ab-e8a37b5b8187,Allow Away Mode Policy,0x00000001,0x00000000
8c5e7fda-e8bf-4a96-9a85-a6e23a8c635c,High performance,238c9fa8-0aad-41ed-83f4-97be242c8f20,Sleep,29f6c1db-86da-48c5-9fdb-f2b67b1f44da,Sleep after,0x00000000,0x00000000
8c5e7fda-e8bf-4a96-9a85-a6e23a8c635c,High performance,238c9fa8-0aad-41ed-83f4-97be242c8f20,Sleep,7bc4a2f9-d8fc-4469-b07b-33eb785aaca0,System unattended sleep timeout,0x00000078,0x00000078
8c5e7fda-e8bf-4a96-9a85-a6e23a8c635c,High performance,238c9fa8-0aad-41ed-83f4-97be242c8f20,Sleep,94ac6d29-73ce-41a6-809f-6363ba21b47e,Allow hybrid sleep,0x00000001,0x00000001
8c5e7fda-e8bf-4a96-9a85-a6e23a8c635c,High performance,238c9fa8-0aad-41ed-83f4-97be242c8f20,Sleep,9d7815a6-7ee4-497e-8888-515a05f02364,Hibernate after,0x00000000,0x00000000
8c5e7fda-e8bf-4a96-9a85-a6e23a8c635c,High performance,238c9fa8-0aad-41ed-83f4-97be242c8f20,Sleep,a4b195f5-8225-47d8-8012-9d41369786e2,Allow system required policy,0x00000001,0x00000001
8c5e7fda-e8bf-4a96-9a85-a6e23a8c635c,High performance,238c9fa8-0aad-41ed-83f4-97be242c8f20,Sleep,abfc2519-3608-4c2a-94ea-171b0ed546ab,Allow Standby States,0x00000001,0x00000001
8c5e7fda-e8bf-4a96-9a85-a6e23a8c635c,High performance,238c9fa8-0aad-41ed-83f4-97be242c8f20,Sleep,bd3b718a-0680-4d9d-8ab2-e1d2b4ac806d,Allow wake timers,0x00000001,0x00000001
8c5e7fda-e8bf-4a96-9a85-a6e23a8c635c,High performance,238c9fa8-0aad-41ed-83f4-97be242c8f20,Sleep,d4c1d4c8-d5cc-43d3-b83e-fc51215cb04d,Allow sleep with remote opens,0x00000000,0x00000000
8c5e7fda-e8bf-4a96-9a85-a6e23a8c635c,High performance,2a737441-1930-4402-8d77-b2bebba308a3,USB settings,0853a681-27c8-4100-a2fd-82013e970683,Hub Selective Suspend Timeout,0x00000032,0x00000032
8c5e7fda-e8bf-4a96-9a85-a6e23a8c635c,High performance,2a737441-1930-4402-8d77-b2bebba308a3,USB settings,48e6b7a6-50f5-4782-a5d4-53bb8f07e226,USB selective suspend setting,0x00000001,0x00000001
8c5e7fda-e8bf-4a96-9a85-a6e23a8c635c,High performance,2a737441-1930-4402-8d77-b2bebba308a3,USB settings,498c044a-201b-4631-a522-5c744ed4e678,Setting IOC on all TDs,0x00000001,0x00000001
8c5e7fda-e8bf-4a96-9a85-a6e23a8c635c,High performance,2a737441-1930-4402-8d77-b2bebba308a3,USB settings,d4e98f31-5ffe-4ce1-be31-1b38b384c009,USB 3 Link Power Mangement,0x00000002,0x00000002
8c5e7fda-e8bf-4a96-9a85-a6e23a8c635c,High performance,2e601130-5351-4d9d-8e04-252966bad054,Idle Resiliency,3166bc41-7e98-4e03-b34e-ec0f5f2b218e,Execution Required power request timeout,0xffffffff,0x0000012c
8c5e7fda-e8bf-4a96-9a85-a6e23a8c635c,High performance,2e601130-5351-4d9d-8e04-252966bad054,Idle Resiliency,c36f0eb4-2988-4a70-8eee-0884fc2c2433,IO coalescing timeout,0x00000000,0x00000000
8c5e7fda-e8bf-4a96-9a85-a6e23a8c635c,High performance,2e601130-5351-4d9d-8e04-252966bad054,Idle Resiliency,c42b79aa-aa3a-484b-a98f-2cf32aa90a28,Processor Idle Resiliency Timer Resolution,0x00000000,0x00000000
8c5e7fda-e8bf-4a96-9a85-a6e23a8c635c,High performance,2e601130-5351-4d9d-8e04-252966bad054,Idle Resiliency,d502f7ee-1dc7-4efd-a55d-f04b6f5c0545,Deep Sleep Enabled/Disabled,0x00000001,0x00000001
8c5e7fda-e8bf-4a96-9a85-a6e23a8c635c,High performance,48672f38-7a9a-4bb2-8bf8-3d85be19de4e,Interrupt Steering Settings,2bfc24f9-5ea2-4801-8213-3dbae01aa39d,Interrupt Steering Mode,0x00000000,0x00000000
8c5e7fda-e8bf-4a96-9a85-a6e23a8c635c,High performance,48672f38-7a9a-4bb2-8bf8-3d85be19de4e,Interrupt Steering Settings,73cde64d-d720-4bb2-a860-c755afe77ef2,Target Load,0x00000032,0x00000032
8c5e7fda-e8bf-4a96-9a85-a6e23a8c635c,High performance,48672f38-7a9a-4bb2-8bf8-3d85be19de4e,Interrupt Steering Settings,d6ba4903-386f-4c2c-8adb-5c21b3328d25,Unparked time trigger,0x00000064,0x00000064
8c5e7fda-e8bf-4a96-9a85-a6e23a8c635c,High performance,4f971e89-eebd-4455-a8de-9e59040e7347,Power buttons and lid,5ca83367-6e45-459f-a27b-476b1d01c936,Lid close action,0x00000001,0x00000001
8c5e7fda-e8bf-4a96-9a85-a6e23a8c635c,High performance,4f971e89-eebd-4455-a8de-9e59040e7347,Power buttons and lid,7648efa3-dd9c-4e3e-b566-50f929386280,Power button action,0x00000003,0x00000003
