DecVal,HexVal,Interval,Length,FGQuantumUnits,BGQuantumUnits
0,0x0,Shorter,Variable,6,6
1,0x1,Shorter,Variable,12,6
2,0x2,Shorter,Variable,18,6
3,0x3,Shorter,Variable,18,6
4,0x4,Shorter,Variable,6,6
5,0x5,Shorter,Variable,12,6
6,0x6,Shorter,Variable,18,6
7,0x7,Shorter,Variable,18,6
8,0x8,Shorter,Fixed,18,18
9,0x9,Shorter,Fixed,18,18
10,0xA,Shorter,Fixed,18,18
11,0xB,Shorter,Fixed,18,18
12,0xC,Shorter,Variable,6,6
13,0xD,Shorter,Variable,12,6
14,0xE,Shorter,Variable,18,6
15,0xF,Shorter,Variable,18,6
16,0x10,Longer,Variable,12,12
17,0x11,Longer,Variable,24,12
18,0x12,Longer,Variable,36,12
19,0x13,Longer,Variable,36,12
20,0x14,Longer,Variable,12,12
21,0x15,Longer,Variable,24,12
22,0x16,Longer,Variable,36,12
23,0x17,Longer,Variable,36,12
24,0x18,Longer,Fixed,36,36
25,0x19,Longer,Fixed,36,36
26,0x1A,Longer,Fixed,36,36
27,0x1B,Longer,Fixed,36,36
28,0x1C,Longer,Variable,12,12
29,0x1D,Longer,Variable,24,12
30,0x1E,Longer,Variable,36,12
31,0x1F,Longer,Variable,36,12
32,0x20,Shorter,Variable,6,6
33,0x21,Shorter,Variable,12,6
34,0x22,Shorter,Variable,18,6
35,0x23,Shorter,Variable,18,6
36,0x24,Shorter,Variable,6,6
37,0x25,Shorter,Variable,12,6
38,0x26,Shorter,Variable,18,6
39,0x27,Shorter,Variable,18,6
40,0x28,Shorter,Fixed,18,18
41,0x29,Shorter,Fixed,18,18
42,0x2A,Shorter,Fixed,18,18
43,0x2B,Shorter,Fixed,18,18
44,0x2C,Shorter,Variable,6,6
45,0x2D,Shorter,Variable,12,6
46,0x2E,Shorter,Variable,18,6
47,0x2F,Shorter,Variable,18,6
48,0x30,Shorter,Variable,6,6
49,0x31,Shorter,Variable,12,6
50,0x32,Shorter,Variable,18,6
51,0x33,Shorter,Variable,18,6
52,0x34,Shorter,Variable,6,6
53,0x35,Shorter,Variable,12,6
54,0x36,Shorter,Variable,18,6
55,0x37,Shorter,Variable,18,6
56,0x38,Shorter,Fixed,18,18
57,0x39,Shorter,Fixed,18,18
58,0x3A,Shorter,Fixed,18,18
59,0x3B,Shorter,Fixed,18,18
60,0x3C,Shorter,Variable,6,6
61,0x3D,Shorter,Variable,12,6
62,0x3E,Shorter,Variable,18,6
63,0x3F,Shorter,Variable,18,6
64,0x40,Shorter,Variable,6,6
65,0x41,Shorter,Variable,12,6
66,0x42,Shorter,Variable,18,6
67,0x43,Shorter,Variable,18,6
68,0x44,Shorter,Variable,6,6
69,0x45,Shorter,Variable,12,6
70,0x46,Shorter,Variable,18,6
71,0x47,Shorter,Variable,18,6
72,0x48,Shorter,Fixed,18,18
73,0x49,Shorter,Fixed,18,18
74,0x4A,Shorter,Fixed,18,18
75,0x4B,Shorter,Fixed,18,18
76,0x4C,Shorter,Variable,6,6
77,0x4D,Shorter,Variable,12,6
78,0x4E,Shorter,Variable,18,6
79,0x4F,Shorter,Variable,18,6
80,0x50,Longer,Variable,12,12
81,0x51,Longer,Variable,24,12
82,0x52,Longer,Variable,36,12
83,0x53,Longer,Variable,36,12
84,0x54,Longer,Variable,12,12
85,0x55,Longer,Variable,24,12
86,0x56,Longer,Variable,36,12
87,0x57,Longer,Variable,36,12
88,0x58,Longer,Fixed,36,36
89,0x59,Longer,Fixed,36,36
90,0x5A,Longer,Fixed,36,36
91,0x5B,Longer,Fixed,36,36
92,0x5C,Longer,Variable,12,12
93,0x5D,Longer,Variable,24,12
94,0x5E,Longer,Variable,36,12
95,0x5F,Longer,Variable,36,12
96,0x60,Shorter,Variable,6,6
97,0x61,Shorter,Variable,12,6
98,0x62,Shorter,Variable,18,6
99,0x63,Shorter,Variable,18,6
100,0x64,Shorter,Variable,6,6
101,0x65,Shorter,Variable,12,6
102,0x66,Shorter,Variable,18,6
103,0x67,Shorter,Variable,18,6
104,0x68,Shorter,Fixed,18,18
105,0x69,Shorter,Fixed,18,18
106,0x6A,Shorter,Fixed,18,18
107,0x6B,Shorter,Fixed,18,18
108,0x6C,Shorter,Variable,6,6
109,0x6D,Shorter,Variable,12,6
110,0x6E,Shorter,Variable,18,6
111,0x6F,Shorter,Variable,18,6
112,0x70,Shorter,Variable,6,6
113,0x71,Shorter,Variable,12,6
114,0x72,Shorter,Variable,18,6
115,0x73,Shorter,Variable,18,6
116,0x74,Shorter,Variable,6,6
117,0x75,Shorter,Variable,12,6
118,0x76,Shorter,Variable,18,6
119,0x77,Shorter,Variable,18,6
120,0x78,Shorter,Fixed,18,18
121,0x79,Shorter,Fixed,18,18
122,0x7A,Shorter,Fixed,18,18
123,0x7B,Shorter,Fixed,18,18
124,0x7C,Shorter,Variable,6,6
125,0x7D,Shorter,Variable,12,6
126,0x7E,Shorter,Variable,18,6
127,0x7F,Shorter,Variable,18,6
128,0x80,Shorter,Variable,6,6
129,0x81,Shorter,Variable,12,6
130,0x82,Shorter,Variable,18,6
131,0x83,Shorter,Variable,18,6
132,0x84,Shorter,Variable,6,6
133,0x85,Shorter,Variable,12,6
134,0x86,Shorter,Variable,18,6
135,0x87,Shorter,Variable,18,6
136,0x88,Shorter,Fixed,18,18
137,0x89,Shorter,Fixed,18,18
138,0x8A,Shorter,Fixed,18,18
139,0x8B,Shorter,Fixed,18,18
140,0x8C,Shorter,Variable,6,6
141,0x8D,Shorter,Variable,12,6
142,0x8E,Shorter,Variable,18,6
143,0x8F,Shorter,Variable,18,6
144,0x90,Longer,Variable,12,12
145,0x91,Longer,Variable,24,12
146,0x92,Longer,Variable,36,12
147,0x93,Longer,Variable,36,12
148,0x94,Longer,Variable,12,12
149,0x95,Longer,Variable,24,12
150,0x96,Longer,Variable,36,12
151,0x97,Longer,Variable,36,12
152,0x98,Longer,Fixed,36,36
153,0x99,Longer,Fixed,36,36
154,0x9A,Longer,Fixed,36,36
155,0x9B,Longer,Fixed,36,36
156,0x9C,Longer,Variable,12,12
157,0x9D,Longer,Variable,24,12
158,0x9E,Longer,Variable,36,12
159,0x9F,Longer,Variable,36,12
160,0xA0,Shorter,Variable,6,6
161,0xA1,Shorter,Variable,12,6
162,0xA2,Shorter,Variable,18,6
163,0xA3,Shorter,Variable,18,6
164,0xA4,Shorter,Variable,6,6
165,0xA5,Shorter,Variable,12,6
166,0xA6,Shorter,Variable,18,6
167,0xA7,Shorter,Variable,18,6
168,0xA8,Shorter,Fixed,18,18
169,0xA9,Shorter,Fixed,18,18
170,0xAA,Shorter,Fixed,18,18
171,0xAB,Shorter,Fixed,18,18
172,0xAC,Shorter,Variable,6,6
173,0xAD,Shorter,Variable,12,6
174,0xAE,Shorter,Variable,18,6
175,0xAF,Shorter,Variable,18,6
176,0xB0,Shorter,Variable,6,6
177,0xB1,Shorter,Variable,12,6
178,0xB2,Shorter,Variable,18,6
179,0xB3,Shorter,Variable,18,6
180,0xB4,Shorter,Variable,6,6
181,0xB5,Shorter,Variable,12,6
182,0xB6,Shorter,Variable,18,6
183,0xB7,Shorter,Variable,18,6
184,0xB8,Shorter,Fixed,18,18
185,0xB9,Shorter,Fixed,18,18
186,0xBA,Shorter,Fixed,18,18
187,0xBB,Shorter,Fixed,18,18
188,0xBC,Shorter,Variable,6,6
189,0xBD,Shorter,Variable,12,6
190,0xBE,Shorter,Variable,18,6
191,0xBF,Shorter,Variable,18,6
192,0xC0,Shorter,Variable,6,6
193,0xC1,Shorter,Variable,12,6
194,0xC2,Shorter,Variable,18,6
195,0xC3,Shorter,Variable,18,6
196,0xC4,Shorter,Variable,6,6
197,0xC5,Shorter,Variable,12,6
198,0xC6,Shorter,Variable,18,6
199,0xC7,Shorter,Variable,18,6
200,0xC8,Shorter,Fixed,18,18
201,0xC9,Shorter,Fixed,18,18
202,0xCA,Shorter,Fixed,18,18
203,0xCB,Shorter,Fixed,18,18
204,0xCC,Shorter,Variable,6,6
205,0xCD,Shorter,Variable,12,6
206,0xCE,Shorter,Variable,18,6
207,0xCF,Shorter,Variable,18,6
208,0xD0,Longer,Variable,12,12
209,0xD1,Longer,Variable,24,12
210,0xD2,Longer,Variable,36,12
211,0xD3,Longer,Variable,36,12
212,0xD4,Longer,Variable,12,12
213,0xD5,Longer,Variable,24,12
214,0xD6,Longer,Variable,36,12
215,0xD7,Longer,Variable,36,12
216,0xD8,Longer,Fixed,36,36
217,0xD9,Longer,Fixed,36,36
218,0xDA,Longer,Fixed,36,36
219,0xDB,Longer,Fixed,36,36
220,0xDC,Longer,Variable,12,12
221,0xDD,Longer,Variable,24,12
222,0xDE,Longer,Variable,36,12
223,0xDF,Longer,Variable,36,12
224,0xE0,Shorter,Variable,6,6
225,0xE1,Shorter,Variable,12,6
226,0xE2,Shorter,Variable,18,6
227,0xE3,Shorter,Variable,18,6
228,0xE4,Shorter,Variable,6,6
229,0xE5,Shorter,Variable,12,6
230,0xE6,Shorter,Variable,18,6
231,0xE7,Shorter,Variable,18,6
232,0xE8,Shorter,Fixed,18,18
233,0xE9,Shorter,Fixed,18,18
234,0xEA,Shorter,Fixed,18,18
235,0xEB,Shorter,Fixed,18,18
236,0xEC,Shorter,Variable,6,6
237,0xED,Shorter,Variable,12,6
238,0xEE,Shorter,Variable,18,6
239,0xEF,Shorter,Variable,18,6
240,0xF0,Shorter,Variable,6,6
241,0xF1,Shorter,Variable,12,6
242,0xF2,Shorter,Variable,18,6
243,0xF3,Shorter,Variable,18,6
244,0xF4,Shorter,Variable,6,6
245,0xF5,Shorter,Variable,12,6
246,0xF6,Shorter,Variable,18,6
247,0xF7,Shorter,Variable,18,6
248,0xF8,Shorter,Fixed,18,18
249,0xF9,Shorter,Fixed,18,18
250,0xFA,Shorter,Fixed,18,18
251,0xFB,Shorter,Fixed,18,18
252,0xFC,Shorter,Variable,6,6
253,0xFD,Shorter,Variable,12,6
254,0xFE,Shorter,Variable,18,6
255,0xFF,Shorter,Variable,18,6
256,0x100,Shorter,Variable,6,6
257,0x101,Shorter,Variable,12,6
258,0x102,Shorter,Variable,18,6
259,0x103,Shorter,Variable,18,6
260,0x104,Shorter,Variable,6,6
261,0x105,Shorter,Variable,12,6
262,0x106,Shorter,Variable,18,6
263,0x107,Shorter,Variable,18,6
264,0x108,Shorter,Fixed,18,18
265,0x109,Shorter,Fixed,18,18
266,0x10A,Shorter,Fixed,18,18
267,0x10B,Shorter,Fixed,18,18
268,0x10C,Shorter,Variable,6,6
269,0x10D,Shorter,Variable,12,6
270,0x10E,Shorter,Variable,18,6
271,0x10F,Shorter,Variable,18,6
